id,text,obfuscatedText,mechanism,level
1030303,who is aziz hashim,abd compound,FEA,14
1030303,who is aziz hashim,compound servant,FEA,14
1030303,who is aziz hashim,arabic servant,FEA,14
1030303,who is aziz hashim,abd names,FEA,14
1030303,who is aziz hashim,names servant,FEA,14
1030303,who is aziz hashim,abd meaning,FEA,14
1030303,who is aziz hashim,abd powerful,FEA,14
1030303,who is aziz hashim,cancellation longmire,FEA,14
1030303,who is aziz hashim,longmire new,FEA,14
1030303,who is aziz hashim,longmire master,FEA,14
1030303,who is aziz hashim,meaning servant,FEA,14
1030303,who is aziz hashim,powerful servant,FEA,14
1030303,who is aziz hashim,drama new,FEA,14
1030303,who is aziz hashim,comedy drama,FEA,14
1030303,who is aziz hashim,new probably,FEA,14
1030303,who is aziz hashim,comedy new,FEA,14
1030303,who is aziz hashim,comedy master,FEA,14
1030303,who is aziz hashim,drama rescued,FEA,14
1030303,who is aziz hashim,comedy rescued,FEA,14
1030303,who is aziz hashim,master rescued,FEA,14
1030303,who is aziz hashim,drama master,FEA,14
1030303,who is aziz hashim,new rescued,FEA,14
1030303,who is aziz hashim,netflix probably,FEA,14
1030303,who is aziz hashim,netflix new,FEA,14
1030303,who is aziz hashim,left netflix,FEA,14
1030303,who is aziz hashim,netflix western,FEA,14
1030303,who is aziz hashim,probably western,FEA,14
1030303,who is aziz hashim,netflix original,FEA,14
1030303,who is aziz hashim,different netflix,FEA,14
1030303,who is aziz hashim,new western,FEA,14
1030303,who is aziz hashim,cancellation comedy,FEA,14
1030303,who is aziz hashim,netflix watch,FEA,14
1030303,who is aziz hashim,new original,FEA,14
1030303,who is aziz hashim,left new,FEA,14
1030303,who is aziz hashim,netflix programming,FEA,14
1030303,who is aziz hashim,cancellation drama,FEA,14
1030303,who is aziz hashim,cancellation rescued,FEA,14
1030303,who is aziz hashim,compound irst,FEA,14
1030303,who is aziz hashim,netflix streaming,FEA,14
1030303,who is aziz hashim,netflix service,FEA,14
1030303,who is aziz hashim,streaming western,FEA,14
1030303,who is aziz hashim,netflix week,FEA,14
1030303,who is aziz hashim,netflix season,FEA,14
1030303,who is aziz hashim,left probably,FEA,14
1030303,who is aziz hashim,probably streaming,FEA,14
1030303,who is aziz hashim,watch western,FEA,14
1030303,who is aziz hashim,left western,FEA,14
1030303,who is aziz hashim,master new,FEA,14
1030303,who is aziz hashim,new watch,FEA,14
1030303,who is aziz hashim,new streaming,FEA,14
1037496,who is rep scalise?,bout weighted,FEA,14
1037496,who is rep scalise?,bout way,FEA,14
1037496,who is rep scalise?,best bout,FEA,14
1037496,who is rep scalise?,dividing people,FEA,14
1037496,who is rep scalise?,divide people,FEA,14
1037496,who is rep scalise?,business deal,FEA,14
1037496,who is rep scalise?,deal owner,FEA,14
1037496,who is rep scalise?,deal large,FEA,14
1037496,who is rep scalise?,bring deal,FEA,14
1037496,who is rep scalise?,large salesperson,FEA,14
1037496,who is rep scalise?,business salesperson,FEA,14
1037496,who is rep scalise?,deal salesperson,FEA,14
1037496,who is rep scalise?,deal similar,FEA,14
1037496,who is rep scalise?,business quarterbacks,FEA,14
1037496,who is rep scalise?,deal quarterbacks,FEA,14
1037496,who is rep scalise?,dmd member,FEA,14
1037496,who is rep scalise?,dmd hill,FEA,14
1037496,who is rep scalise?,rodney second,FEA,14
1037496,who is rep scalise?,new rodney,FEA,14
1037496,who is rep scalise?,jersey rodney,FEA,14
1037496,who is rep scalise?,announce rodney,FEA,14
1037496,who is rep scalise?,retirement rodney,FEA,14
1037496,who is rep scalise?,frelinghuysen second,FEA,14
1037496,who is rep scalise?,frelinghuysen new,FEA,14
1037496,who is rep scalise?,frelinghuysen jersey,FEA,14
1037496,who is rep scalise?,announce frelinghuysen,FEA,14
1037496,who is rep scalise?,frelinghuysen retirement,FEA,14
1037496,who is rep scalise?,jersey republican,FEA,14
1037496,who is rep scalise?,consequently taken,FEA,14
1037496,who is rep scalise?,revoke taken,FEA,14
1037496,who is rep scalise?,consequently revoke,FEA,14
1037496,who is rep scalise?,consequently opposition,FEA,14
1037496,who is rep scalise?,consequently particular,FEA,14
1037496,who is rep scalise?,consequently dispositions,FEA,14
1037496,who is rep scalise?,consequently revocation,FEA,14
